project_id,author_id,total_commit_author,total_commit_project,percent,contributor,major,minor
31657027,7059200,1,2094,0.04775549188156638,Minor,4,11
31657027,8226459,24,2094,1.146131805157593,Minor,4,11
31657027,8405087,78,2094,3.7249283667621778,Minor,4,11
31657027,8492690,291,2094,13.896848137535816,Major,4,11
31657027,9302596,177,2094,8.45272206303725,Major,4,11
31657027,14235246,19,2094,0.9073543457497613,Minor,4,11
31657027,49082095,12,2094,0.5730659025787965,Minor,4,11
32552050,3905805,53,621,8.53462157809984,Major,3,0
32552050,8820022,388,621,62.47987117552335,Major,3,0
32552050,11598965,180,621,28.985507246376812,Major,3,0
34561609,6190992,846,846,100.0,Major,1,0
34600889,305897,514,517,99.41972920696325,Major,1,2
34600889,4102336,1,517,0.19342359767891684,Minor,1,2
34600889,8704244,2,517,0.3868471953578337,Minor,1,2
35149818,8658508,576,576,100.0,Major,1,0
36761320,362454,861,1124,76.60142348754448,Major,3,3
36761320,671144,165,1124,14.679715302491104,Major,3,3
36761320,1730678,15,1124,1.3345195729537367,Minor,3,3
36761320,4038471,60,1124,5.338078291814947,Major,3,3
36761320,4038472,1,1124,0.0889679715302491,Minor,3,3
36761320,9345699,22,1124,1.9572953736654803,Minor,3,3
40955019,284947,1,508,0.19685039370078738,Minor,3,2
40955019,2123592,133,508,26.181102362204722,Major,3,2
40955019,6207438,235,508,46.25984251968504,Major,3,2
40955019,8066196,2,508,0.39370078740157477,Minor,3,2
40955019,8689354,137,508,26.968503937007878,Major,3,2
41010830,6103130,565,565,100.0,Major,1,0
41339733,176825,688,688,100.0,Major,1,0
47754491,6059,299,764,39.13612565445026,Major,2,0
47754491,13725662,465,764,60.86387434554974,Major,2,0
47838894,2903,2,1792,0.11160714285714285,Minor,1,109
47838894,9233,1,1792,0.055803571428571425,Minor,1,109
47838894,28712,2,1792,0.11160714285714285,Minor,1,109
47838894,103167,27,1792,1.5066964285714286,Minor,1,109
47838894,175213,1,1792,0.055803571428571425,Minor,1,109
47838894,213025,5,1792,0.27901785714285715,Minor,1,109
47838894,265038,1,1792,0.055803571428571425,Minor,1,109
47838894,283083,1,1792,0.055803571428571425,Minor,1,109
47838894,293979,2,1792,0.11160714285714285,Minor,1,109
47838894,307778,1,1792,0.055803571428571425,Minor,1,109
47838894,312857,7,1792,0.390625,Minor,1,109
47838894,314843,1,1792,0.055803571428571425,Minor,1,109
47838894,323541,3,1792,0.16741071428571427,Minor,1,109
47838894,352519,1,1792,0.055803571428571425,Minor,1,109
47838894,383951,1,1792,0.055803571428571425,Minor,1,109
47838894,401496,1,1792,0.055803571428571425,Minor,1,109
47838894,562976,2,1792,0.11160714285714285,Minor,1,109
47838894,581777,5,1792,0.27901785714285715,Minor,1,109
47838894,670546,3,1792,0.16741071428571427,Minor,1,109
47838894,680879,1,1792,0.055803571428571425,Minor,1,109
47838894,746815,4,1792,0.2232142857142857,Minor,1,109
47838894,752871,2,1792,0.11160714285714285,Minor,1,109
47838894,930912,2,1792,0.11160714285714285,Minor,1,109
47838894,1030603,1,1792,0.055803571428571425,Minor,1,109
47838894,1179543,1,1792,0.055803571428571425,Minor,1,109
47838894,1215100,6,1792,0.33482142857142855,Minor,1,109
47838894,1276772,2,1792,0.11160714285714285,Minor,1,109
47838894,1406941,1535,1792,85.65848214285714,Major,1,109
47838894,1535784,1,1792,0.055803571428571425,Minor,1,109
47838894,1558878,1,1792,0.055803571428571425,Minor,1,109
47838894,1592617,1,1792,0.055803571428571425,Minor,1,109
47838894,1874658,1,1792,0.055803571428571425,Minor,1,109
47838894,2039115,2,1792,0.11160714285714285,Minor,1,109
47838894,2237009,2,1792,0.11160714285714285,Minor,1,109
47838894,2266269,1,1792,0.055803571428571425,Minor,1,109
47838894,2335130,4,1792,0.2232142857142857,Minor,1,109
47838894,2473673,2,1792,0.11160714285714285,Minor,1,109
47838894,2747992,3,1792,0.16741071428571427,Minor,1,109
47838894,3091942,1,1792,0.055803571428571425,Minor,1,109
47838894,3107528,1,1792,0.055803571428571425,Minor,1,109
47838894,3238270,2,1792,0.11160714285714285,Minor,1,109
47838894,3250952,2,1792,0.11160714285714285,Minor,1,109
47838894,3384244,1,1792,0.055803571428571425,Minor,1,109
47838894,3384494,1,1792,0.055803571428571425,Minor,1,109
47838894,3453501,2,1792,0.11160714285714285,Minor,1,109
47838894,3520781,2,1792,0.11160714285714285,Minor,1,109
47838894,3601380,3,1792,0.16741071428571427,Minor,1,109
47838894,3635598,1,1792,0.055803571428571425,Minor,1,109
47838894,3803628,1,1792,0.055803571428571425,Minor,1,109
47838894,4022573,10,1792,0.5580357142857143,Minor,1,109
47838894,4025752,2,1792,0.11160714285714285,Minor,1,109
47838894,4189018,2,1792,0.11160714285714285,Minor,1,109
47838894,4256631,5,1792,0.27901785714285715,Minor,1,109
47838894,4400345,2,1792,0.11160714285714285,Minor,1,109
47838894,4448629,1,1792,0.055803571428571425,Minor,1,109
47838894,5027465,1,1792,0.055803571428571425,Minor,1,109
47838894,6856898,1,1792,0.055803571428571425,Minor,1,109
47838894,7423915,7,1792,0.390625,Minor,1,109
47838894,7478883,1,1792,0.055803571428571425,Minor,1,109
47838894,7713122,1,1792,0.055803571428571425,Minor,1,109
47838894,7719570,1,1792,0.055803571428571425,Minor,1,109
47838894,8213127,1,1792,0.055803571428571425,Minor,1,109
47838894,8510222,2,1792,0.11160714285714285,Minor,1,109
47838894,8767531,1,1792,0.055803571428571425,Minor,1,109
47838894,8866816,1,1792,0.055803571428571425,Minor,1,109
47838894,9409675,1,1792,0.055803571428571425,Minor,1,109
47838894,9653766,1,1792,0.055803571428571425,Minor,1,109
47838894,10271339,5,1792,0.27901785714285715,Minor,1,109
47838894,10650777,2,1792,0.11160714285714285,Minor,1,109
47838894,10939101,5,1792,0.27901785714285715,Minor,1,109
47838894,11020305,1,1792,0.055803571428571425,Minor,1,109
47838894,11260967,1,1792,0.055803571428571425,Minor,1,109
47838894,13133179,1,1792,0.055803571428571425,Minor,1,109
47838894,13551371,1,1792,0.055803571428571425,Minor,1,109
47838894,13645662,1,1792,0.055803571428571425,Minor,1,109
47838894,14347455,3,1792,0.16741071428571427,Minor,1,109
47838894,28270294,1,1792,0.055803571428571425,Minor,1,109
47838894,30499692,1,1792,0.055803571428571425,Minor,1,109
47838894,31770754,1,1792,0.055803571428571425,Minor,1,109
47838894,32092781,1,1792,0.055803571428571425,Minor,1,109
47838894,32976720,6,1792,0.33482142857142855,Minor,1,109
47838894,34480028,1,1792,0.055803571428571425,Minor,1,109
47838894,34539842,2,1792,0.11160714285714285,Minor,1,109
47838894,35534962,1,1792,0.055803571428571425,Minor,1,109
47838894,36287129,18,1792,1.0044642857142858,Minor,1,109
47838894,36386880,1,1792,0.055803571428571425,Minor,1,109
47838894,36557761,1,1792,0.055803571428571425,Minor,1,109
47838894,37202139,1,1792,0.055803571428571425,Minor,1,109
47838894,37237300,2,1792,0.11160714285714285,Minor,1,109
47838894,37284458,3,1792,0.16741071428571427,Minor,1,109
47838894,37794552,2,1792,0.11160714285714285,Minor,1,109
47838894,38020920,1,1792,0.055803571428571425,Minor,1,109
47838894,38302005,8,1792,0.4464285714285714,Minor,1,109
47838894,38513922,1,1792,0.055803571428571425,Minor,1,109
47838894,38573466,1,1792,0.055803571428571425,Minor,1,109
