,project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index,file
70,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,35,10,8,9,8,11,8,3,3,6,3,6,9,9,28.5293,1.5,42.794,A,71.1232,/home/senior/senior/all_metric/56604179/47.csv
71,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,128,51,49,8,44,27,8,16,4,20,12,26,24,38,174.229,2.6,452.994,A,69.756,/home/senior/senior/all_metric/56604179/29.csv
72,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,112,37,33,30,23,28,28,12,2,5,2,5,7,7,19.6515,1,19.6515,A,69.8077,/home/senior/senior/all_metric/56604179/48.csv
73,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,599,294,280,23,154,142,23,105,13,92,64,121,105,185,1242.14,8.54891,10618.9,A,41.2698,/home/senior/senior/all_metric/56604179/24.csv
74,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,98,36,37,17,26,18,17,14,3,5,3,5,8,8,24,1.5,36,A,77.9528,/home/senior/senior/all_metric/56604179/109.csv
75,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,118,80,84,9,0,25,9,11,2,14,16,30,16,46,184,2.14286,394.286,A,56.8041,/home/senior/senior/all_metric/56604179/94.csv
76,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,145,101,97,10,0,35,13,7,6,80,49,98,86,147,944.661,3.675,3471.63,A,49.1905,/home/senior/senior/all_metric/56604179/103.csv
77,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,69,35,36,9,8,16,9,7,2,4,2,4,6,6,15.5098,1,15.5098,A,85.9645,/home/senior/senior/all_metric/56604179/71.csv
78,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,229,108,104,19,59,49,17,16,10,32,19,36,42,55,296.577,5.625,1668.25,A,64.9613,/home/senior/senior/all_metric/56604179/58.csv
79,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,32,9,8,14,5,9,10,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/56604179/52.csv
80,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,654,482,460,15,4,176,14,43,11,204,125,239,215,364,2820.34,6.44363,18173.2,B,13.3944,/home/senior/senior/all_metric/56604179/89.csv
81,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,133,46,46,8,40,39,8,25,3,8,5,9,11,14,48.432,1.6875,81.7291,A,75.3062,/home/senior/senior/all_metric/56604179/67.csv
82,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,74,50,53,11,0,11,10,12,3,10,7,13,13,20,74.0088,1.95,144.317,A,72.1863,/home/senior/senior/all_metric/56604179/80.csv
83,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,76,24,24,8,18,26,8,11,3,9,5,9,12,14,50.1895,1.5,75.2842,A,81.406,/home/senior/senior/all_metric/56604179/64.csv
84,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,60,15,11,16,16,17,16,2,1,2,1,2,3,3,4.75489,0.5,2.37744,A,58.1487,/home/senior/senior/all_metric/56604179/37.csv
85,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,437,179,223,35,94,88,32,36,10,59,36,65,69,101,616.961,5.50847,3398.51,A,57.0612,/home/senior/senior/all_metric/56604179/16.csv
86,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,378,141,186,41,107,53,32,42,11,58,32,60,69,92,561.984,5.68966,3197.5,A,57.4111,/home/senior/senior/all_metric/56604179/70.csv
87,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,94,29,30,14,31,21,12,8,2,3,2,3,5,5,11.6096,1,11.6096,A,76.1696,/home/senior/senior/all_metric/56604179/20.csv
88,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,83,43,46,8,12,17,8,13,10,25,16,32,35,48,246.206,6.4,1575.72,A,74.9091,/home/senior/senior/all_metric/56604179/15.csv
89,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,227,173,167,11,0,49,11,25,5,25,13,25,30,38,186.462,2.5,466.155,A,46.3415,/home/senior/senior/all_metric/56604179/76.csv
90,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,213,76,73,14,71,54,15,33,6,34,22,41,40,63,335.281,3.61765,1212.93,A,60.6647,/home/senior/senior/all_metric/56604179/38.csv
91,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,1113,523,485,20,316,287,25,245,15,110,80,153,125,233,1623.03,10.4318,16931.1,A,26.5353,/home/senior/senior/all_metric/56604179/73.csv
92,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,125,88,91,8,0,26,8,15,2,16,10,18,18,28,116.758,1.125,131.353,A,57.9455,/home/senior/senior/all_metric/56604179/91.csv
93,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,336,165,149,13,80,85,22,72,10,36,24,44,46,68,375.602,6.11111,2295.35,A,55.6466,/home/senior/senior/all_metric/56604179/39.csv
94,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,132,89,87,14,0,31,14,15,6,29,20,38,35,58,297.498,3.93103,1169.48,A,58.5294,/home/senior/senior/all_metric/56604179/98.csv
95,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,231,100,91,12,61,65,14,39,6,15,11,19,21,30,131.77,3.8,500.724,A,65.4192,/home/senior/senior/all_metric/56604179/4.csv
96,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,44,9,21,10,5,10,8,0,1,1,1,2,2,3,3,1,3,A,100,/home/senior/senior/all_metric/56604179/46.csv
97,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,641,277,261,20,218,149,13,78,10,66,40,74,76,114,712.264,5.60606,3992.99,A,45.113,/home/senior/senior/all_metric/56604179/10.csv
98,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,1237,947,988,149,0,122,127,166,19,134,175,310,153,485,3519.83,21.9776,77357.5,B,9.38758,/home/senior/senior/all_metric/56604179/87.csv
99,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,104,55,53,9,16,27,8,28,8,19,14,23,27,37,175.931,4.84211,851.876,A,72.2763,/home/senior/senior/all_metric/56604179/11.csv
100,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,1822,635,1135,124,263,293,131,167,14,226,143,276,240,419,3312.99,8.54867,28321.6,A,21.3929,/home/senior/senior/all_metric/56604179/1.csv
101,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,222,160,162,29,0,34,26,16,6,63,41,82,69,123,751.349,3.90476,2933.84,A,49.1461,/home/senior/senior/all_metric/56604179/100.csv
102,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,325,226,214,13,23,71,17,115,10,49,37,69,59,106,623.56,7.04082,4390.37,A,41.0893,/home/senior/senior/all_metric/56604179/40.csv
103,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,40,21,19,9,2,9,10,6,1,2,1,2,3,3,4.75489,0.5,2.37744,A,94.9826,/home/senior/senior/all_metric/56604179/33.csv
104,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,360,246,247,44,0,78,35,37,6,19,14,28,25,42,195.042,4.42105,862.291,A,50.6115,/home/senior/senior/all_metric/56604179/78.csv
105,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,77,59,64,9,0,4,9,7,3,8,5,9,11,14,48.432,1.6875,81.7291,A,69.4007,/home/senior/senior/all_metric/56604179/96.csv
106,56604179,d8d9283,Manuel Vázquez Acosta,2019-08-06,43,31,29,8,0,6,8,7,7,13,9,15,20,24,103.726,4.03846,418.895,A,78.178,/home/senior/senior/all_metric/56604179/104.csv
