project_id,add,delete,churn,pathname
31069027,28,0,28,strock_transfer_uos/__openerp__.py
31069027,6,0,6,strock_transfer_uos/wizard/__init__.py
31069027,90,0,90,strock_transfer_uos/wizard/stock_transfer_details.py
31069027,2,2,4,stock_picking_review/stock.py
31069027,1,0,1,product_virtual_stock_conservative/__init__.py
31069027,32,0,32,product_virtual_stock_conservative/__openerp__.py
31069027,1,0,1,product_virtual_stock_conservative/models/__init__.py
31069027,52,0,52,product_virtual_stock_conservative/models/product.py
31069027,1,1,2,picking_invoice_pending/stock_picking.py
31069027,14,1,15,picking_invoice_pending/stock_picking.py
31069027,14,2,16,picking_invoice_pending/stock_picking.py
31069027,7,2,9,picking_invoice_pending/stock_picking.py
31069027,10,8,18,sale_margin_percentage/models/sale.py
31069027,2,2,4,sale_margin_percentage/models/sale.py
31069027,1,0,1,account_banking_mandate_active/__init__.py
31069027,33,0,33,account_banking_mandate_active/__openerp__.py
31069027,1,0,1,account_banking_mandate_active/models/__init__.py
31069027,30,0,30,account_banking_mandate_active/models/account_banking_mandate.py
31069027,1,0,1,res_partner_bank_active/__init__.py
31069027,33,0,33,res_partner_bank_active/__openerp__.py
31069027,1,0,1,res_partner_bank_active/models/__init__.py
31069027,29,0,29,res_partner_bank_active/models/res_partner_bank.py
31069027,5,0,5,sale_margin_percentage/__init__.py
31069027,22,0,22,sale_margin_percentage/__openerp__.py
31069027,23,0,23,sale_margin_percentage/models/__init__.py
31069027,72,0,72,sale_margin_percentage/models/sale.py
31069027,35,0,35,sale_margin_percentage/models/sale_report.py
31069027,0,1,1,nan_partner_risk/__openerp__.py
31069027,27,88,115,nan_partner_risk/risk.py
31069027,12,48,60,nan_partner_risk/wizard/open_risk_window.py
31069027,2,1,3,harmonized_system/__openerp__.py
31069027,2,0,2,block_invoices/__init__.py
31069027,2,0,2,block_invoices/__openerp__.py
31069027,2,0,2,block_invoices/res_company.py
31069027,2,2,4,block_invoices/res_partner.py
31069027,2,0,2,block_invoices/sale_make_invoice.py
31069027,2,0,2,block_invoices/stock_invoice_onshipping.py
31069027,0,1,1,account_banking_sepadd_groupby_partner/__init__.py
31069027,3,3,6,account_banking_sepadd_groupby_partner/__openerp__.py
31069027,0,4,4,account_banking_sepadd_groupby_partner/payment_order.py
31069027,0,2,2,account_banking_sepadd_groupby_partner/wizard/__init__.py
31069027,0,370,370,account_banking_sepadd_groupby_partner/wizard/export_sdd.py
31069027,38,12,50,stock_picking_review/stock.py
31069027,1,1,2,stock_picking_review/wizard/fast_return.py
31069027,22,7,29,stock_picking_review/stock.py
31069027,0,21,21,stock_picking_invoice_link/__init__.py
31069027,0,37,37,stock_picking_invoice_link/__openerp__.py
31069027,0,78,78,stock_picking_invoice_link/stock.py
31069027,1,1,2,stock_picking_review/__openerp__.py
31069027,1,1,2,stock_picking_review/wizard/fast_return.py
31069027,82,76,158,stock_picking_review/stock.py
31069027,1,4,5,sale_early_payment_discount/__openerp__.py
31069027,23,0,23,stock_picking_valued_early_discount/__init__.py
31069027,34,0,34,stock_picking_valued_early_discount/__openerp__.py
31069027,23,0,23,stock_picking_valued_early_discount/models/__init__.py
31069027,63,0,63,stock_picking_valued_early_discount/models/stock.py
31069027,1,1,2,stock_picking_review/__openerp__.py
31069027,1,2,3,stock_picking_valued/__init__.py
31069027,3,2,5,stock_picking_valued/__openerp__.py
31069027,25,0,25,stock_picking_valued/models/__init__.py
31069027,0,1,1,stock_picking_valued/{ => models}/partner.py
31069027,45,0,45,stock_picking_valued/models/sale_order.py
31069027,41,53,94,stock_picking_valued/{ => models}/stock.py
31069027,0,1,1,purchase_landed_cost/models/purchase_cost_distribution.py
31069027,23,0,23,stock_picking_review/__init__.py
31069027,38,0,38,stock_picking_review/__openerp__.py
31069027,358,0,358,stock_picking_review/stock.py
31069027,22,0,22,stock_picking_review/wizard/__init__.py
31069027,119,0,119,stock_picking_review/wizard/fast_return.py
31069027,2,2,4,purchase_landed_cost/models/purchase_cost_distribution.py
31069027,7,0,7,account_journal_book/__init__.py
31069027,49,0,49,account_journal_book/__openerp__.py
31069027,5,0,5,account_journal_book/models/__init__.py
31069027,29,0,29,account_journal_book/models/account.py
31069027,5,0,5,account_journal_book/report/__init__.py
31069027,45,0,45,account_journal_book/report/account_move_line_record.py
31069027,7,0,7,account_journal_book/wizard/__init__.py
31069027,135,0,135,account_journal_book/wizard/account_move_book_renumber_wizard.py
31069027,52,0,52,account_journal_book/wizard/account_period_close_wizard.py
31069027,110,0,110,account_journal_book/wizard/wizard_print_journal_entries.py
31069027,1,1,2,partner_risk_insurance/__openerp__.py
